category,bicubic_psnr,model_psnr,gain,ssim,lpips
Biological,19.6319,21.8959,2.2640,0.44561,0.27714
Fibres,21.6667,25.8469,4.1803,0.62069,0.22644
Films_Coated_Surface,19.1084,22.6809,3.5725,0.48033,0.29937
MEMS_devices_and_electrodes,20.1323,24.5145,4.3822,0.45057,0.25407
Nanowires,20.9036,24.7271,3.8235,0.71898,0.20071
Particles,23.8332,27.8953,4.0620,0.57739,0.20244
Patterned_surface,20.4850,25.7608,5.2759,0.57107,0.19879
Porous_Sponge,19.6811,23.4699,3.7888,0.57108,0.22235
Powder,19.8171,23.7771,3.9600,0.62209,0.22458
Tips,20.1967,25.0240,4.8273,0.46363,0.23246
