id,f90,mean,var_resid,smul
000000,0.846062,0.457556,0.01074030,0.169757
000001,0.828714,0.450363,0.00879558,0.164867
000002,0.830113,0.442507,0.01212965,0.218272
000003,0.843063,0.456118,0.00859248,0.186846
000004,1.092550,0.409751,0.00832229,0.191647
000005,1.104025,0.350373,0.00589317,0.184794
000006,0.605204,0.493141,0.01124686,0.189160
000007,0.335938,0.667505,0.02165410,0.206398
000008,0.312695,0.467734,0.01065500,0.200742
000009,0.881982,0.575419,0.01154400,0.143418
000010,0.854568,0.556094,0.01186575,0.150952
000011,0.947376,0.547985,0.01189718,0.163285
000012,0.348423,0.422203,0.00873389,0.195107
000013,0.626220,0.453030,0.01021497,0.207217
000014,0.800124,0.477228,0.00971175,0.207233
000015,0.501524,0.419915,0.00821173,0.198046
000016,0.784563,0.389974,0.00570379,0.163398
000017,0.704686,0.379293,0.00604339,0.182089
000018,0.688432,0.467802,0.00893623,0.158573
000019,0.622063,0.466505,0.00967733,0.174635
000020,0.531480,0.401880,0.00864175,0.181228
000021,0.802295,0.438651,0.00755983,0.176163
000022,0.823728,0.447352,0.01089858,0.207841
000023,0.806619,0.483824,0.01036898,0.181136
000024,0.159344,0.604556,0.02074611,0.220713
000025,0.146784,0.596083,0.02182333,0.221678
000026,0.245193,0.509546,0.00920451,0.163625
000027,1.118580,0.525185,0.01805709,0.218499
000028,0.987470,0.510492,0.00871562,0.169250
000029,0.555622,0.464180,0.01131962,0.219315
000030,0.713679,0.426808,0.00675931,0.166034
000031,0.769482,0.386206,0.00753454,0.203210
000032,0.580496,0.392677,0.00625881,0.182849
000033,0.997464,0.314441,0.00592004,0.199671
000034,1.025076,0.396050,0.00820092,0.204068
000035,0.975687,0.384318,0.01039253,0.231267
000036,0.850415,0.470278,0.01286684,0.227425
000037,0.698247,0.435365,0.00773868,0.186617
000038,0.867188,0.475722,0.00982155,0.182544
000039,1.120324,0.444412,0.01141672,0.191188
000040,1.119398,0.539640,0.01601785,0.184495
000041,0.974905,0.454330,0.00873704,0.175706
000042,0.510211,0.433620,0.01228671,0.201231
000043,0.311130,0.388844,0.01132357,0.204271
000044,0.611425,0.455656,0.01094036,0.182389
000045,0.447432,0.478867,0.00835353,0.180684
000046,0.181210,0.437384,0.00622173,0.151981
000047,0.216647,0.438757,0.00750407,0.185811
000048,0.704209,0.457414,0.00734074,0.165431
000049,0.789990,0.397006,0.00687910,0.164313
000050,0.686434,0.423678,0.00713186,0.189793
000051,0.125973,0.444334,0.00697066,0.168138
000052,0.143418,0.424972,0.00844370,0.204623
000053,0.134865,0.440198,0.00698302,0.167658
000054,0.458548,0.621197,0.01624062,0.179791
000055,0.560108,0.612308,0.01229177,0.160037
000056,0.544022,0.630131,0.01802614,0.199080
000057,0.917096,0.440173,0.01113487,0.216802
000058,0.922405,0.444833,0.00972471,0.200238
000059,0.905880,0.444608,0.01152709,0.218476
000060,0.828309,0.388192,0.00652408,0.200945
000061,0.847395,0.372520,0.00560363,0.187386
000062,0.674459,0.390261,0.00933342,0.218936
000063,0.612422,0.613853,0.01547496,0.164808
000064,0.621180,0.595630,0.01364458,0.146457
000065,0.658710,0.623988,0.02409295,0.207744
