tag,ckpt,epoch,psnr,ssim,lpips,ms_per_img,params_M
loss-lp05-120,runs/loss-lp05-120/last.pt,119,23.0899,0.58381,0.20601,2.146,1.369
loss-lp15-120,runs/loss-lp15-120/last.pt,119,22.9791,0.57623,0.1926,2.495,1.369
loss-ss30-120,runs/loss-ss30-120/last.pt,119,23.0965,0.59428,0.38967,2.652,1.369
pr30-w00-120,runs/pr30-w00-120/last.pt,119,23.2231,0.59222,0.38823,2.603,1.369
pr30-w100-120,runs/pr30-w100-120/last.pt,119,23.2102,0.59053,0.39283,2.711,1.369
pr30-w50-120,runs/pr30-w50-120/last.pt,119,23.2115,0.59099,0.3873,2.637,1.369
pr30-w50-hard-120,runs/pr30-w50-hard-120/last.pt,119,23.1212,0.59163,0.35536,2.588,1.369
pr50-w00-120,runs/pr50-w00-120/last.pt,119,23.2083,0.59896,0.36956,2.711,1.369
pr50-w50-120,runs/pr50-w50-120/last.pt,119,23.2202,0.5985,0.37238,2.622,1.369
loss-lp05-120,runs/loss-lp05-120/last.pt,119,23.0899,0.58381,0.20601,2.311,1.369
loss-lp15-120,runs/loss-lp15-120/last.pt,119,22.9791,0.57623,0.1926,2.381,1.369
loss-ss30-120,runs/loss-ss30-120/last.pt,119,23.0965,0.59428,0.38967,2.273,1.369
lp02-120,runs/lp02-120/last.pt,119,23.1648,0.58672,0.23268,2.396,1.369
pr30-w00-120,runs/pr30-w00-120/last.pt,119,23.2231,0.59222,0.38823,2.302,1.369
pr30-w100-120,runs/pr30-w100-120/last.pt,119,23.2102,0.59053,0.39283,2.342,1.369
pr30-w50-120,runs/pr30-w50-120/last.pt,119,23.2115,0.59099,0.3873,2.307,1.369
pr30-w50-hard-120,runs/pr30-w50-hard-120/last.pt,119,23.1212,0.59163,0.35536,2.37,1.369
pr50-w00-120,runs/pr50-w00-120/last.pt,119,23.2083,0.59896,0.36956,2.356,1.369
pr50-w50-120,runs/pr50-w50-120/last.pt,119,23.2202,0.5985,0.37238,2.426,1.369
pr50-w50-lp05-120,runs/pr50-w50-lp05-120/last.pt,119,23.1041,0.58837,0.20017,2.274,1.369
