tag,ckpt,epoch,psnr,ssim,lpips,ms_per_img,params_M
loss-lp05-120,runs/loss-lp05-120/last.pt,119,23.608,0.60369,0.1975,1.911,1.369
loss-lp15-120,runs/loss-lp15-120/last.pt,119,23.4786,0.59467,0.18668,2.133,1.369
loss-ss30-120,runs/loss-ss30-120/last.pt,119,23.6339,0.61563,0.36949,2.102,1.369
lp02-120,runs/lp02-120/last.pt,119,23.6846,0.607,0.22007,1.94,1.369
pr30-w00-120,runs/pr30-w00-120/last.pt,119,23.7567,0.61343,0.36773,1.946,1.369
pr30-w100-120,runs/pr30-w100-120/last.pt,119,23.7403,0.61074,0.37485,1.979,1.369
pr30-w50-120,runs/pr30-w50-120/last.pt,119,23.7435,0.61221,0.36763,2.007,1.369
pr30-w50-hard-120,runs/pr30-w50-hard-120/last.pt,119,23.6386,0.61129,0.33984,1.965,1.369
pr50-w00-120,runs/pr50-w00-120/last.pt,119,23.7546,0.61954,0.35333,1.909,1.369
pr50-w50-120,runs/pr50-w50-120/last.pt,119,23.7626,0.61915,0.35518,2.164,1.369
pr50-w50-lp05-120,runs/pr50-w50-lp05-120/last.pt,119,23.632,0.60791,0.19288,2.168,1.369
