tag,ckpt,epoch,psnr,ssim,lpips,ms_per_img,params_M
v1-combo,runs\v1\best.pt,76,28.4272,0.74673,nan,10.253,1.369
v1-combo,runs\v1\best.pt,76,28.4272,0.74673,0.30857,13.929,1.369
v1-sharp,runs\v1-sharp\best.pt,30,28.2859,0.7351,0.34595,7.406,1.369
v1,runs\v1\best.pt,76,28.4272,0.74673,0.30857,12.459,1.369
v1+tta,runs\v1\best.pt,76,28.4671,0.74798,0.30874,85.027,1.369
v2,runs\v2\best.pt,50,28.4525,0.74797,0.31523,21.546,3.74
v2+tta,runs\v2\best.pt,50,28.4831,0.74902,0.31688,162.628,3.74
charb,runs\charb\best.pt,34,28.3074,0.73225,0.34058,12.433,1.369
recenter,runs\recenter\best.pt,30,28.2788,0.73596,0.3417,12.182,1.369
v1-cpu,runs\v1\best.pt,76,28.4272,0.76366,0.3086,645.901,1.369
v1-fix,runs\v1\best.pt,76,28.4272,0.76366,0.30857,23.054,1.369
v2-fix,runs\v2\best.pt,50,28.4525,0.76491,0.31523,22.88,3.74
charb-fix,runs\charb\best.pt,34,28.3074,0.74948,0.34058,12.745,1.369
recenter-fix,runs\recenter\best.pt,30,28.2788,0.75335,0.3417,12.769,1.369
v1-fix,runs\v1\best.pt,76,28.4272,0.76366,0.30857,9.734,1.369
v2-fix,runs\v2\best.pt,50,28.4525,0.76491,0.31523,20.997,3.74
charb-fix,runs\charb\best.pt,34,28.3074,0.74948,0.34058,7.382,1.369
recenter-fix,runs\recenter\best.pt,30,28.2788,0.75335,0.3417,7.312,1.369
r2-full-s0,runs\r2-full-s0\last.pt,39,23.126,0.58286,0.40422,7.174,1.369
r2-full-s1,runs\r2-full-s1\last.pt,39,23.0954,0.58498,0.39787,7.27,1.369
r2-sub500,runs\r2-sub500\last.pt,39,23.0893,0.58383,0.40206,6.989,1.369
v1-round1-model,runs\v1\best.pt,76,23.1721,0.55963,0.50442,7.002,1.369
r2-degfix,runs\r2-degfix\last.pt,119,23.1199,0.59338,0.37485,22.628,1.369
r2-preal1,runs\r2-preal1\last.pt,119,23.2842,0.61225,0.34775,12.19,1.369
preal1-on-block,runs\r2-preal1\last.pt,119,24.5622,0.66376,0.33847,10.397,1.369
